company,slogan
Macungie Animal Hospital,"Come, sit, heal."
Aventis Pharma in India,Our challenge is life.
"Melrose Cheestrings, cheese snack for kids",Real cheese. Real fun.
"V8, vegetable juice brand",It Might Just Make You Feel Better
Canada Factoring,True funding solutions.
Condor Ferries,The fastest way to Brittany with your car.
"Penta, ultra purified bottled water",Penta. Taste and feel the difference.
Pilates Central Studio,The place to be. The place to become.
"AWE Tuning, tuning for Porsche, Audi and Volkswagen",Performance engineering for European autos.
To get the short end of the stick is to come off worst in a bargain or contest., Butt end of the stick - The 
Smart Backpackers,Amazing hostels for the free spirited traveller.
Leeon Studio Pilates,Excellence in pilates.
Deerfield Family Dentistry,Smile! You're in good hands.
This proverb expresses the view that you  can't turn something which is inherently low-grade or ugly into something valuable or attractive.,You can't make a silk purse out of a sow's ear
Wisconsin Milk Marketing Board / advertising campaign of Wisconsin cheeses,Wisconsin cheese. Outdo ordinary.
'Darby and Joan' are an archetypal elderly couple. The phrase is used as a general term for old age.,Darby and Joan
"Hunt's, tomato sauces, ketchups and other tomato products",The tastiest toy in the world
Sunrise Day Spa & Beauty Salon in Victoria,Shine from head to toe.
Be in charge.,Wear the trousers
"Grafik, branding firm for mid-sized organizations",Grafik. The right idea.
Baron Mortgage Corporation,Your lender for life.
American Airlines,We know why you fly. We're American Airlines.
Monarch Tattoo in Hauula,Where new concepts meet timeless tradition.
Spire Design & Construction Studio in Centennial,Creating lasting impressions through interior design.
"Wolf Creek, ski area in Colorado",The most snow in Colorado.
"Shaklee brand, vitamins, minerals, nutritional supplements",Shaklee. Creating Healthier Lives
"Taco Bell, American fast food restaurants",Think outside the bun.
"Haskayne School of Business in Calgary, Canada",A better place to think about business.
Head.,Loaf of bread
"Muttamorphosis, dog trainers in Newcastle",Notice the change in your dog.
"The literal meaning of 'O Romeo, Romeo! wherefore art thou Romeo?' would appear to be 'Where are you Romeo?'. In fact, using the meaning of wherefore that would have been commonplace in Shakespeare's day, the playright suggested the meaning of 'For what reason are you Romeo?'.","Romeo, Romeo, wherefore art thou Romeo?"
To reject or to have nothing to do with.,Brook no truck with
"The Mill Casino & Hotel, Oregon",Where Even the View is a Winner!
AlphaGraphics,Miracles in print.
"Colin Lee Opticians in England, glasses, eye care products and services",Vision for a better outlook.
"Divine Therapy, practice of massage therapist Caren Benstead",Rest. Refresh. Restore.
A fly in the ointment is a small but irritating flaw that spoils the whole. In the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil  an otherwise faultless plan.,Fly in the ointment
Ford Vehicles,Ford. Bold moves.
Terry's Chocolate Orange,Round. But not round for long.
Something unadventurous or inoffensive; opting to go neither one way or the other.,Middle of the road
Tulips Dental Care in Markham,Let us make you smile.
A euphemism for 'acquired illegally'.,Fall off the back of a lorry
Geppetto Catering,Washington's choice for corporate catering.
Platinum Painting Service in Honolulu,We take pride in what we do!
ING Direct bank,ING Direct. Save Your Money!
"Samphire, food and restaurant PR services",PR and marketing for hungry people.
"British Lion Quality, mark on egg shells and egg boxes in England",The pride of Britain.
"Dhealth, dental office of Dr. Stefan Danylak",Simply better dentistry.
Jeffres Acupuncture Center in New York,Where ancient knowledge meets modern healing.
Red Bull Energy Drink,Red Bull gives you wings.
Honda Cars,It must be love.
"The Cosmetic Surgery Clinic in Waterloo, Canada",It's what you do for yourself.
"'Go pound sand' is an American expression of disdain, along the same lines as 'get lost', 'go and play in the traffic', etc.",Go pound sand
Dental office of Dr. Eric Henize in Blue Ash,Dental excellence. Compassionate care.
Sargento cheese,Our family's passion is cheese.
Lucozade Energy Drink,But the force continues.
Oakmont Bakery,We create delicious memories.
Hush Puppies casual shoes,Free to be casual.
"University of Leeds, Faculty of Medicine and Health",Expertise built on knowledge. Reputation built on success.
"Frisco, South African brand of instant coffee",Coffee time is Frisco time.
"Van Dal, women's shoes",Almost a part of you.
Mercury cars (Ford's brand),Imagine Yourself in a Mercury now.
"Sole Clinic, podiatry and physiotherapy in Singapore",You trusted foot & rehab specialist.
Alaska Center for Dentistry in Anchorage,The latest in dentistry from people who care.
"OM Security Company, guarding, mobile patrols, alarm response",Your world is more secure with us.
To 'grass someone up' is to inform on them to the police.,Grass up
Lady Borden ice cream,Fit for a golden spoon.
"Kroger Stores, retail food chain",Kroger. Right store. Right price.
Sol Yoga Studios in San Diego,A unique heated yoga experience.
Golazo Sports Drink,We fuel futbol.
Pembrokeshire Pilates,"Change your body shape... Longer, leaner, stronger."
"AC Schnitzer, tuning house for BMW and MINI",Beyond the M-series.
"Axe, brand of deodorants, body sprays",Spray more. Get more.
Affordable Acupuncture in Miami,Healthcare for everyone.
"PhoneWatch, provider of home and business alarm security systems in Ireland",Securing peace of mind.
Swan Vestas Long Matches,Use matches sparingly.
Purina pet food brand,Purina. Your Pet. Our Passion.
Heart Lake Massage Therapy Clinic,Professional therapy in a tranquil setting.
Lu Le Petit Ecolier cookies,It's hard to resist a Lu.
Very happy and content.,As happy as a sandboy
"Baby Land, baby shop in Vaughan",Modern baby essentials.
Viactiv Calcium and Multi-Vitamin Chews,"Viactiv, the nutrition women want!"
"Leratong Hospice, palliative care centre in South Africa",The place of love.
"Master Security, company in USA",Protecting what's important to you.
Thomas’ / Hearty Grains english muffins,Heartier nooks. Healthier grannies.
"Erail Travel, European rail tours",Travel with a clear conscience.
Jude's Barbershop,Where guys get their haircut.
"Avondale Food Stores, Ontario",Avondale. Convenience with low prices.
"Les Mills Gyms, exercise-to-music group fitness classes",Turn it up!
BelGioioso cheese,Classic Italian cheese made in the USA.
"Bandana's- Bar-B-Q , Barbecue, Missouri",Bandana's- Bar-B-Q. Smell that smoke
Focus PR Company,Results. Energy. Ideas.
The source of abundant fun and enjoyment.,Barrel of laughs
Pulsar Watches (brand of Seiko watch corporation),Pulsar. Tell it your way.
Tallow Beach Motel,Australia's most easterly motel.
Smarter Business Consultancy in New Milton,"Work smarter, not harder."
Old Cedar Campground,Relax and enjoy life!
Activ8 Health & Fitness Clubs,We believe in a better you.
Russian Translation Company,Word matters. Word masters.
Camano Socks in Germany,Comfort in socks.
Glaxo Wellcome,Breakthrough medicines for everyday living.
"Ivins, Phillips & Barker law company, tax law, employee benefits, Washington",Innovation. Experience. Focus.
Texas Heart Institute at St. Luke's Episcopal Hospital,The heart of discovery.
Widener University School of Law,Why Widener? Why not Widener?
"Pet Cafe, chain of pet shops in Australia",The finest fresh food and all your pet needs.
"The Barbers Comb in Oundle, England",A quality hair cut at a fair price.
"Eason & Son, bookstore chain in Ireland, also wholesale and distribution of books, press, stationery and cards",Whatever you're into get into Eason.
