explanation,text
"The proverb 'A bird in the hand is worth two in the bush' means  that it's
            better to hold onto something you  have rather than take the risk of getting something better  which may come to nothing.",A bird in the hand is worth two in the bush
"A
complete surprise, like
a bolt of lightning from a clear blue sky - literally 'out of the blue'.",A bolt from the blue
"'A bunch of fives' is a slang term for
          a fist, especially one used for punching. The
          fives are the four fingers and the thumb.",A bunch of fives
"The proverb 'A chain is only as strong as its weakest link' has a literal meaning, although the 'weakest link' referred to is figurative and usually applies to a person or technical feature rather than the link of an actual chain.",A chain is only as strong as its weakest link
"A  change is as good as a rest is a proverb that expresses, in a fairly straightforward literal way, the notion that a change from one's regular occupation is as restorative as a holiday.",A change is as good as a rest
"'A country mile' means 'a long distance, especially one that was expected to be shorter. For example - ""Red Rum won the Grand National by a country mile"". ",A country mile
'A countenance more in sorrow than in anger' has a literal meaning. It describes the demeanour of a person who has suffered a  setback or a shock but  is displaying sadness rather than anger.,A countenance more in sorrow than in anger
Someone who makes a wise judgement about something that has previously proven difficult to resolve.,A Daniel come to judgement
Someone who is basically good hearted but lacking social graces and respect for the law.,A diamond in the rough
"Advertising
  slogan for De Beers' diamonds.",A diamond is forever
'A different kettle of fish' is an alternative to what has been previously considered; a different thing altogether.,A different kettle of fish
A dish fit for the gods is an offering of high quality. ,A dish fit for the gods
"An animal that performs valuable service to humans, often with reference to dogs. ",A dog is a man's best friend
A drop in the bucket is a very small and insignificant proportion of the whole.,A drop in the bucket / a drop in the ocean
"Any misfortune that would make life unlivable, especially rape
 or loss of virginity. The phrase was formerly a euphemism for rape. ",A fate worse than death
A symbol of honour and achievement.,A feather in one's cap
"When an organization or state fails, it is the leadership that is the root cause.",A fish rots from the head down 
"Someone who is in a situation they are unsuited to.
",A fish out of water
A fly in the ointment is a small but irritating flaw that spoils the whole. In the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil  an otherwise faultless plan.,A fly in the ointment
Literal meaning.,A fool and his money are soon parted
A state of happiness based on false hope.,A fool's paradise
"An introduction or way in to something, made in order that progress may be made later. ",A foot in the door
"A foregone conclusion is a decision made before the evidence for or against it is known. Literally, it is a conclusion which is inevitable because the result has  been decided beforehand (or 'afore'). ",A foregone conclusion
There are various interpretations of the meaning of 'a friend in need is a friend indeed'.,A friend in need is a friend indeed
"'A golden key opens any door' is the opinion that sufficient money, or the promise of it, will allow the possessor of it to do anything they wish.",A golden key can open any door
The proverbial saying 'a good beginning makes a good ending' expresses the opinion that preparation and a positive start to any enterprise is the key to a successful outcome.,A good beginning makes a good ending
A good hiding is a severe thrashing.,A good hiding
"A modern-day proverb, bemoaning the difficulty of finding a suitable male partner. ",A good man is hard to find
"A risquÃ© comic play
on words on a good man is hard to find.",A hard man is good to find
"To be faced with a situation which is pointless, as a successful outcome is impossible. This is usually expressed in terms of a sporting contest in which one of two outcomes is foreseen, either a hiding or nothing. The 'to' in the phrase indicates alternative outcomes, as in terms like '6 to 1' or 'dollars to doughnuts'. ",A hiding to nothing - On 
"'A horse, a horse, my kingdom for a horse' is one of Shakespeare's best known lines. The king spoke the line in Act V of the play Richard III, after losing his horse in battle. ","A horse, a horse, my kingdom for a horse"
Literal meaning (house meaning household).,A house divided against itself cannot stand
This English proverb draws the distinction between a bricks and mortar house and a  caring domestic  dwelling with memories and a feeling of belonging. ,A house is not a home
"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",A journey of a thousand miles begins with a single step
"A knight in shining armour is a person, usually a man, who comes to the aid of another, usually a woman, in a gallant and courteous manner. ",A knight in shining armour
"'A la carte' means 'on the menu', with each dish separately priced.",Ã la carte
"Fashionable. Also, in the USA, a dessert served with ice cream.",Ã la mode
'A legend in their own lifetime' refers to  a living person of considerable fame. ,A legend in one's own lifetime
"The
          proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that  people who have done bad things will always be bad people.",A leopard cannot change its spots
I was told by a private or secret source. ,A little bird told me
"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",A little knowledge is a dangerous thing
A euphemistic way of expressing the benefits of sex. ,A little of what you fancy does you good
"Nonsense, rubbish. ",A load of cobblers
Nonsense. ,A load of codswallop
"A
kindred spirit - someone I can agree with.",A man after my own heart
Literal meaning.,A man who is his own lawyer has a fool for a client
A heavy and inescapable burden or responsibility.,A millstone around one's neck
"To minister is to serve, or act as a subordinate agent. So a ministering angel is a kind-hearted person, providing help and comfort.",A ministering angel shall my sister be
A narrow miss is as bad as a wide miss - they are both misses. ,A miss is as good as a mile
"This proverbial saying has a straightforward literal meaning, although it is intended to imply criticism of the English as a nation with little ambition.",A nation of shopkeepers
"A group of iniquitous people, congregating together.",A nest of vipers
Something that requires little mental effort or intelligence to perform or understand. The term is often applied to decisions which are straightorward or sometimes to people who appear to lack intelligence. ,A no-brainer
"'A nod is as good as a wink' expresses the idea that, to a person who is ready to understand or undertake something, any subtle signalling of it is sufficient. The context is usually of some undertaking that is borderline illegal or of sexual innuendo. ",A nod is as good as a wink
"In 1914 the Danish grammarian Otto Jespersen coined the term 'metanalysis'. That's rather a dry start to a piece on what is a lively and intriguing facet of the English language. To find out what prompted Jespersen to believe that we needed a new word, let's bring in a stage prop - the humble orange. ",A norange
An invitation to a person lost in thought to share his or her preoccupation.,A penny for your thoughts
"A picture tells a story just as well as, if not better than, a lot of written words.",A picture is worth a thousand words
"A share in an activity, or in its profits. ",A piece of the action
A straightforward task that can easily be accomplished. ,A piece of cake
"A pig in a poke is an
              offer or deal that is foolishly accepted without being examined first.",A pig in a poke
The proverbial notion that there should be 'a place for everything and everything in its place' is the idea that everything should have somewhere to be stored  and that it should be tidily returned there when not in use. ,A place for everything and everything in its place
"A frustrated
 curse on both sides of an argument.",A plague on both your houses
From the previous. ,A priori
"To wave a red rag to a bull is to  deliberately provoke it. More generally, the expression denotes any deliberate action intended to bring about an adverse reaction. ",A red rag to a bull
'A riddle wrapped up in an enigma' is a puzzle - something especially difficult to understand or to solve.,A riddle wrapped up in an enigma
"'A rising tide lifts all boats' is a fairly recent proverbial saying - given that most proverbs are centuries old. It is most often used today to refer to the movements of prices on the stock market or the economy generally. The notion as regards the stock market is that a rising 'bear' market causes all stocks to rise in value, even weak ones. As regards the economy the idea is of a Reaganistic trickle down effect, that is, if those at the top of the economic pile do well then so do all others.",A rising tide lifts all boats
Someone who does not settle in one place rarely prospers.,A rolling stone gathers no moss
